"Story","Title","Result","Date","Stability","Duration (s)"
"Delete article","Delete article","SUCCESS","2023-06-08T14:12:46.0206486-05:00[America/Bogota]","0.0","29.96"
"Login SCAF","Login scaf","SUCCESS","2023-06-07T12:15:35.476-05:00[America/Bogota]","0.0","13.98"
